Country/Region,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
Armenia,Asia,2963811.0,39819,772.0,3416.95259377494,1161.3783948635635,29.200142513583323,1932.3507853403141,42.45018404907975,171600.0,57898.0
Ghana,Africa,7241599.935185998,39642,199.0,3416.95259377494,919.1181868354086,28.590305992532766,1273.0,6.0,131234.44575338412,13035.0
Kyrgyzstan,Asia,6534479.0,38659,1447.0,3416.95259377494,1161.3783948635635,28.590305992532766,1520.4991138548096,29.07209714306458,267718.0,40970.0
Afghanistan,Asia,7241599.935185998,36896,1298.0,3416.95259377494,1161.3783948635635,31.0,946.0,33.0,90396.0,2317.0
Switzerland,Europe,8660952.0,36108,1985.0,3416.95259377494,2523.0,28.590305992532766,4169.0,29.07209714306458,174228.7332620321,94997.0
Algeria,Africa,7241599.935185998,33626,1273.0,3416.95259377494,1161.3783948635635,27.694136204166664,766.0,29.0,131234.44575338412,33044.1951465764
Azerbaijan,Asia,10148243.0,33247,479.0,3416.95259377494,974.3884749613742,27.694136204166664,3276.0,47.0,156140.98407053042,75499.0
Morocco,Africa,7241599.935185998,29644,449.0,3416.95259377494,1161.3783948635635,31.0,802.0,12.0,174228.7332620321,37448.0
Uzbekistan,Asia,7241599.935185998,28315,175.0,3416.95259377494,1161.3783948635635,29.200142513583327,845.0,5.0,174228.7332620321,41112.0
Serbia,Europe,8733665.0,27332,621.0,14047.0,1161.3783948635635,27.694136204166664,3129.0,71.0,156140.98407053042,82799.0
Moldova,Europe,4032983.0,26628,828.0,3416.95259377494,1161.3783948635635,29.200142513583327,1520.4991138548096,29.07209714306458,128076.0,31757.0
Ireland,Europe,4943200.0,26372,1768.0,3416.95259377494,1240.0,27.694136204166664,1254.751627225775,42.45018404907975,145977.96233941877,33855.74284137664
Kenya,Africa,7241599.935185998,24411,399.0,10444.0,1161.3783948635635,27.694136204166664,453.0,7.0,335318.0,6223.0
Venezuela,South America,6818608.806464154,22299,195.0,12146.0,1161.3783948635635,28.590305992532766,784.0,7.0,174228.7332620321,55138.0
Nepal,Asia,6818608.806464154,21750,65.0,15389.0,1161.3783948635635,29.200142513583323,745.0,2.0,156140.98407053042,25079.0
Austria,Europe,9011577.0,21696,719.0,3416.95259377494,1381.0,28.590305992532766,2408.0,80.0,174228.7332620321,32003.329056477993
Costa Rica,North America,5098730.0,21070,200.0,7038.0,1161.3783948635635,27.694136204166664,4132.0,39.0,96110.0,18850.0
Ethiopia,Africa,11567414.62566845,20900,365.0,9027.0,1161.3783948635635,29.200142513583327,181.0,3.0,131234.44575338412,4069.0
Australia,Australia/Oceania,6537828.893535639,19890,255.0,10941.0,1161.3783948635635,27.694136204166664,779.0,10.0,327839.0470588235,37174.66849640472
El Salvador,North America,6489514.0,19126,513.0,9236.0,1161.3783948635635,27.694136204166664,2947.0,79.0,251271.0,38720.0
Czechia,Europe,10711019.0,17731,390.0,12320.0,1057.1234464259196,28.590305992532766,1655.0,36.0,156140.98407053042,68030.0
Cameroon,Africa,6723476.214187539,17718,391.0,15320.0,2007.0,30.0,666.0,15.0,149000.0,5600.0
Ivory Coast,Africa,6628695.090217288,16447,103.0,12484.0,974.3884749613742,29.200142513583323,622.0,4.0,104584.0,3956.0
S. Korea,Asia,7241599.935185998,14519,303.0,13543.0,673.0,28.590305992532766,283.0,6.0,174228.7332620321,31471.0
Denmark,Europe,5794279.0,14306,617.0,12787.0,902.0,27.694136204166664,2469.0,26.96968222941251,174228.7332620321,48010.90395480226
Palestine,Asia,5112340.0,13398,92.0,6907.0,1161.3783948635635,29.200142513583323,2621.0,18.0,200280.0,39176.0
Bosnia and Herzegovina,Europe,3278650.0,13396,384.0,7042.0,1094.8295591437154,29.200142513583323,4086.0,29.07209714306458,147021.0,44842.0
